feature,gain_importance,feature_group,abs_pearson
X25,3617.3430786132812,anonymous_x,0.041280532478469134
X264,3613.6339111328125,anonymous_x,0.030459772108378566
X765,3602.1520385742188,anonymous_x,0.025151223849154837
X646,3600.6800537109375,anonymous_x,0.016701248924931092
X335,3578.1279296875,anonymous_x,0.017676684800673848
X418,3555.39599609375,anonymous_x,0.006095725328355472
X86,3530.1829223632812,anonymous_x,0.009997571183417625
X30,3507.833984375,anonymous_x,0.04911998963442409
X760,3502.8270263671875,anonymous_x,0.03592142918646942
X175,3411.1830444335938,anonymous_x,0.05120059667728391
X27,3378.4109497070312,anonymous_x,0.072856086243638
X340,3319.208984375,anonymous_x,0.022117855867462094
X168,3202.342041015625,anonymous_x,0.02411729985997315
X734,3187.35400390625,anonymous_x,0.014641438054900252
X654,3187.3009643554688,anonymous_x,0.016659950798044318
X463,3184.5699462890625,anonymous_x,0.017407534642939926
X577,3131.31689453125,anonymous_x,0.012585790201987938
X191,3050.718994140625,anonymous_x,0.028852210823326518
X294,3042.9080810546875,anonymous_x,0.06140958019828977
X670,3015.1829833984375,anonymous_x,0.021893235005618416
X754,3011.2149658203125,anonymous_x,0.06614545118220005
X711,2965.2060546875,anonymous_x,0.010574125829407362
X590,2930.949951171875,anonymous_x,0.054243497978920946
X579,2903.1109924316406,anonymous_x,0.016233214471673328
X574,2893.3099975585938,anonymous_x,0.032086256704288316
X432,2892.89990234375,anonymous_x,0.03815796568492825
X82,2884.4810180664062,anonymous_x,0.04082288584106524
X416,2860.0269165039062,anonymous_x,0.02321088811013105
X90,2857.531005859375,anonymous_x,0.01234659086905484
X435,2848.6018676757812,anonymous_x,0.03929566000203933
X169,2810.9609375,anonymous_x,0.05105220117543842
X172,2761.7659912109375,anonymous_x,0.017668119199097238
X671,2622.5660400390625,anonymous_x,0.023252379781914703
X581,2593.5419921875,anonymous_x,0.02638842560673188
X566,2584.0750732421875,anonymous_x,0.04044299417890854
X602,2561.5250244140625,anonymous_x,0.05975565591588093
X753,2510.9819946289062,anonymous_x,0.0661481215490222
X124,2490.1659545898438,anonymous_x,0.031425019402399126
X339,2489.8029174804688,anonymous_x,0.014480385246995296
X735,2470.385986328125,anonymous_x,0.022294470850354853
X182,2425.1100463867188,anonymous_x,0.013512567047662826
X573,2390.5769653320312,anonymous_x,0.001048951066152391
X642,2337.3799438476562,anonymous_x,0.006575633186619648
X501,2320.125,anonymous_x,0.0009159885772443316
X327,2280.8190307617188,anonymous_x,0.015558214402295092
X36,2267.260009765625,anonymous_x,0.0202689482426124
X569,2246.5869750976562,anonymous_x,0.029918217463461225
X560,2245.5139770507812,anonymous_x,0.04143968426409603
X541,2236.5910034179688,anonymous_x,0.007741232774243055
X458,2230.6300048828125,anonymous_x,0.010645242970318419
X609,2217.6199951171875,anonymous_x,0.04949183155977503
X293,2210.320068359375,anonymous_x,0.06718581130758063
X217,2206.4730224609375,anonymous_x,0.05852583670657166
X710,2166.3570556640625,anonymous_x,0.014794193282552411
X92,2136.1909790039062,anonymous_x,0.010864710167925022
X288,2078.218017578125,anonymous_x,0.05735099769552275
X163,2044.1879272460938,anonymous_x,0.05326081648378826
X727,2031.8489990234375,anonymous_x,0.025717533069398973
X41,1971.3750305175781,anonymous_x,0.04584073174451407
X407,1967.9169921875,anonymous_x,0.004254318896637257
X38,1959.801025390625,anonymous_x,0.029527117678621644
X125,1957.0979614257812,anonymous_x,0.049813069707894835
X122,1943.0650024414062,anonymous_x,0.00948167098939166
X559,1942.81201171875,anonymous_x,0.00313834981229553
X205,1940.4829711914062,anonymous_x,0.03642704530564114
X371,1926.072998046875,anonymous_x,0.014121397304415416
X190,1924.0410766601562,anonymous_x,0.03570488971812821
X55,1896.0699462890625,anonymous_x,0.054011519204721845
X699,1894.239990234375,anonymous_x,0.0150046901351225
X587,1869.2050170898438,anonymous_x,0.025839069220776164
X299,1828.81298828125,anonymous_x,0.06210310974129745
X676,1827.887939453125,anonymous_x,0.023572685415131484
X334,1815.3560180664062,anonymous_x,0.022407533023736034
X546,1791.153076171875,anonymous_x,0.008025376937492619
X164,1604.97998046875,anonymous_x,0.00948167098939166
X326,1594.8349609375,anonymous_x,0.00888290897756793
X767,1570.5809936523438,anonymous_x,0.006585807666452175
X79,1504.3399658203125,anonymous_x,0.02472333145953982
X444,1469.0280151367188,anonymous_x,0.030134767205566914
X161,1462.0339965820312,anonymous_x,0.03737124362943733
X137,1453.8670043945312,anonymous_x,0.05012335050525043
X606,1411.8699951171875,anonymous_x,0.04143190222307858
X20,1404.7579956054688,anonymous_x,0.07083815198623727
X774,1359.3800048828125,anonymous_x,0.018826723027730467
X552,1329.75,anonymous_x,0.005012083130139102
X547,1317.5,anonymous_x,0.007383136780926462
X52,1316.1950073242188,anonymous_x,0.056675374735360676
X452,1278.9100341796875,anonymous_x,0.023346228634426654
X438,1263.4309997558594,anonymous_x,0.03936346438411252
X51,1255.5010375976562,anonymous_x,0.054362414950371515
X303,1253.3699951171875,anonymous_x,0.05911901710338867
X44,1244.2099609375,anonymous_x,0.051288569951309156
X80,1240.510009765625,anonymous_x,0.00948167098939166
X412,1238.050048828125,anonymous_x,0.0017727426451034842
X709,1218.3599853515625,anonymous_x,0.029616959124191142
X247,1212.72998046875,anonymous_x,0.003056995765123299
X657,1173.56005859375,anonymous_x,0.012923370337031278
X185,1132.0,anonymous_x,0.020815907395796616
X563,1131.6629943847656,anonymous_x,0.027538149646709954
X302,1128.8599853515625,anonymous_x,0.06076705712326155
X472,1103.2350463867188,anonymous_x,0.030720375145277215
X451,1092.3499755859375,anonymous_x,0.02196240148917725
X600,1049.6600341796875,anonymous_x,0.01980342099484052
X538,999.0040283203125,anonymous_x,0.00520026793651219
X123,988.8330078125,anonymous_x,0.01769516983401177
X171,981.9119873046875,anonymous_x,0.017405473846212015
X575,976.7169799804688,anonymous_x,0.029062302490974367
X43,974.7130126953125,anonymous_x,0.051021532755800195
X411,967.3610229492188,anonymous_x,0.015558214402295092
X29,966.6810302734375,anonymous_x,0.06548598136669224
X49,964.5969848632812,anonymous_x,0.056305219551853226
