feature,gain_importance,feature_group
X141,0.0,anonymous_x
X142,0.0,anonymous_x
X143,0.0,anonymous_x
X144,0.0,anonymous_x
X145,0.0,anonymous_x
X146,0.0,anonymous_x
X147,0.0,anonymous_x
X116,0.0,anonymous_x
X117,0.0,anonymous_x
X118,0.0,anonymous_x
X119,0.0,anonymous_x
X120,0.0,anonymous_x
X701,0.0,anonymous_x
X702,0.0,anonymous_x
X703,0.0,anonymous_x
X704,0.0,anonymous_x
X737,0.0,anonymous_x
X771,0.0,anonymous_x
X714,0.0,anonymous_x
X715,0.0,anonymous_x
X716,0.0,anonymous_x
X717,0.0,anonymous_x
X718,0.0,anonymous_x
X719,0.0,anonymous_x
X720,0.0,anonymous_x
X748,0.0,anonymous_x
X744,0.0,anonymous_x
X13,0.0,anonymous_x
X14,0.0,anonymous_x
X15,0.0,anonymous_x
X16,0.0,anonymous_x
X18,0.0,anonymous_x
sell_qty,0.0,public_market
volume,0.0,public_market
X4,0.0,anonymous_x
X69,0.0,anonymous_x
X70,0.0,anonymous_x
X71,0.0,anonymous_x
X72,0.0,anonymous_x
X352,0.0,anonymous_x
X353,0.0,anonymous_x
X747,0.0,anonymous_x
X746,0.0,anonymous_x
X755,0.0,anonymous_x
X724,0.0,anonymous_x
X725,0.0,anonymous_x
X726,0.0,anonymous_x
X728,0.0,anonymous_x
X729,0.0,anonymous_x
X763,0.0,anonymous_x
log_volume,0.0,derived_market
X129,0.0,anonymous_x
X100,0.0,anonymous_x
X101,0.0,anonymous_x
X102,0.0,anonymous_x
X103,0.0,anonymous_x
X104,0.0,anonymous_x
buy_qty,0.0,public_market
