feature,coefficient,abs_coefficient,is_nonzero
X538,-0.02429509,0.02429509,True
X373,-0.024194747,0.024194747,True
X754,0.023803776,0.023803776,True
X657,-0.023785975,0.023785975,True
X349,0.023724742,0.023724742,True
X77,0.023613812,0.023613812,True
X540,-0.023001714,0.023001714,True
X419,0.022810083,0.022810083,True
X632,-0.022661958,0.022661958,True
X427,0.022659866,0.022659866,True
X659,-0.022598367,0.022598367,True
X301,0.022414438,0.022414438,True
X240,-0.022216871,0.022216871,True
X677,-0.021858571,0.021858571,True
X702,0.02169044,0.02169044,True
X566,0.021626264,0.021626264,True
X314,-0.021512678,0.021512678,True
X639,0.021472277,0.021472277,True
X189,0.021380113,0.021380113,True
X524,-0.02119904,0.02119904,True
X336,-0.021085406,0.021085406,True
trade_total_qty,0.020931216,0.020931216,True
X526,0.020351635,0.020351635,True
X380,-0.020277226,0.020277226,True
X509,-0.020073965,0.020073965,True
X46,0.019931128,0.019931128,True
X103,-0.019930582,0.019930582,True
X187,-0.019485677,0.019485677,True
X612,-0.019339062,0.019339062,True
X458,-0.019183606,0.019183606,True
X586,0.019143399,0.019143399,True
X50,-0.019064764,0.019064764,True
X60,0.018714475,0.018714475,True
X295,-0.018477697,0.018477697,True
X101,-0.018327486,0.018327486,True
X244,0.018222274,0.018222274,True
X618,-0.018174727,0.018174727,True
X756,0.018027056,0.018027056,True
X127,0.01781026,0.01781026,True
X669,-0.017680848,0.017680848,True
X453,-0.017202597,0.017202597,True
X188,0.017129596,0.017129596,True
X157,-0.017121237,0.017121237,True
X459,0.016911319,0.016911319,True
X531,-0.01687953,0.01687953,True
X733,0.01681038,0.01681038,True
X407,-0.01664603,0.01664603,True
X294,0.016438797,0.016438797,True
X241,-0.016334657,0.016334657,True
X755,0.016228905,0.016228905,True
log_volume,0.0162055,0.0162055,True
X388,-0.015920201,0.015920201,True
X519,0.01560257,0.01560257,True
X663,-0.015578948,0.015578948,True
X307,-0.015484651,0.015484651,True
X57,-0.015306148,0.015306148,True
X40,-0.015305685,0.015305685,True
X560,0.014831845,0.014831845,True
X311,-0.014669651,0.014669651,True
X386,0.014630705,0.014630705,True
X709,0.014491938,0.014491938,True
X450,-0.01411199,0.01411199,True
X9,0.014092827,0.014092827,True
X449,-0.01401257,0.01401257,True
X305,0.013962581,0.013962581,True
X414,0.013438463,0.013438463,True
X736,0.013402607,0.013402607,True
X445,0.013241173,0.013241173,True
X335,0.013236264,0.013236264,True
X584,0.013168104,0.013168104,True
X727,-0.0130689815,0.0130689815,True
X704,0.012872114,0.012872114,True
X697,0.012799603,0.012799603,True
X665,-0.012605171,0.012605171,True
X713,0.012305541,0.012305541,True
X481,0.012215091,0.012215091,True
X673,0.012087967,0.012087967,True
X759,0.012049226,0.012049226,True
X528,0.011962069,0.011962069,True
X143,-0.011817607,0.011817607,True
X426,0.01170546,0.01170546,True
X534,0.01157881,0.01157881,True
X693,-0.011537375,0.011537375,True
X61,-0.011436122,0.011436122,True
X128,-0.0113695,0.0113695,True
bid_qty,0.011346818,0.011346818,True
X369,0.0112471795,0.0112471795,True
X689,-0.011222068,0.011222068,True
X637,0.0110775875,0.0110775875,True
book_imbalance,-0.010881398,0.010881398,True
X715,0.010445062,0.010445062,True
X564,0.010441076,0.010441076,True
X683,0.010252333,0.010252333,True
X701,0.01025058,0.01025058,True
X771,0.010224582,0.010224582,True
X550,-0.010013434,0.010013434,True
X518,0.010008694,0.010008694,True
X747,-0.009880881,0.009880881,True
X55,-0.0098320525,0.0098320525,True
X511,-0.009300516,0.009300516,True
X723,0.009100453,0.009100453,True
X255,0.009075637,0.009075637,True
X670,-0.009001378,0.009001378,True
X653,-0.008569574,0.008569574,True
X641,0.0083487155,0.0083487155,True
X153,-0.008263882,0.008263882,True
X633,0.008263621,0.008263621,True
X609,0.008223967,0.008223967,True
X1,0.007960038,0.007960038,True
X465,-0.007945979,0.007945979,True
sell_qty,-0.007853227,0.007853227,True
X730,-0.0076810317,0.0076810317,True
X574,0.0073794234,0.0073794234,True
X593,0.0073563796,0.0073563796,True
X630,-0.007193142,0.007193142,True
X259,-0.0066940617,0.0066940617,True
X555,-0.0064673824,0.0064673824,True
X418,0.006460722,0.006460722,True
X464,-0.0061927605,0.0061927605,True
X93,-0.0061408146,0.0061408146,True
X671,0.005755005,0.005755005,True
X610,0.005715803,0.005715803,True
X595,0.005604477,0.005604477,True
X516,-0.0055822283,0.0055822283,True
X731,-0.005533697,0.005533697,True
book_total_qty,-0.00552056,0.00552056,True
X142,0.0054609757,0.0054609757,True
X717,-0.0050688507,0.0050688507,True
X744,0.0050177323,0.0050177323,True
X392,-0.004681196,0.004681196,True
X649,0.0045588063,0.0045588063,True
X661,0.0045463284,0.0045463284,True
X739,-0.0040143793,0.0040143793,True
X296,-0.003977848,0.003977848,True
X183,0.0038346676,0.0038346676,True
X47,-0.0037493282,0.0037493282,True
X510,0.0037179193,0.0037179193,True
X547,-0.003520454,0.003520454,True
X725,-0.0034918361,0.0034918361,True
X729,0.0034312024,0.0034312024,True
ask_qty,-0.0033368396,0.0033368396,True
X122,0.0033256623,0.0033256623,True
X721,0.0033032093,0.0033032093,True
volume_per_book_qty,0.0032283743,0.0032283743,True
X211,-0.0031529525,0.0031529525,True
X562,-0.0030620128,0.0030620128,True
X493,0.0030140593,0.0030140593,True
X517,0.0029084492,0.0029084492,True
X752,-0.0027234852,0.0027234852,True
X190,0.0025532683,0.0025532683,True
X297,-0.002497617,0.002497617,True
X342,0.002435646,0.002435646,True
X660,-0.00227516,0.00227516,True
X737,-0.0020420563,0.0020420563,True
X247,0.0020319521,0.0020319521,True
X31,-0.0019274651,0.0019274651,True
X145,0.0019172537,0.0019172537,True
volume,-0.0016896499,0.0016896499,True
X688,-0.0016813794,0.0016813794,True
X655,0.0016797971,0.0016797971,True
X435,0.0016484647,0.0016484647,True
X522,-0.0014867675,0.0014867675,True
X227,-0.001363996,0.001363996,True
X45,-0.0013318167,0.0013318167,True
volume_per_trade_qty,0.0012637342,0.0012637342,True
X350,-0.0010777237,0.0010777237,True
X770,-0.0009934196,0.0009934196,True
X773,0.0009330715,0.0009330715,True
X213,-0.00073660584,0.00073660584,True
X705,0.00073042564,0.00073042564,True
X36,-0.0006468807,0.0006468807,True
X745,0.0006037679,0.0006037679,True
X645,0.00056300306,0.00056300306,True
X542,0.00054473407,0.00054473407,True
X191,-0.00044533453,0.00044533453,True
X451,-0.0003860734,0.0003860734,True
X226,-0.00031630127,0.00031630127,True
X32,-0.00031023804,0.00031023804,True
X177,0.00030720505,0.00030720505,True
X134,0.00021143124,0.00021143124,True
trade_imbalance,3.0048026e-05,3.0048026e-05,True
X643,-7.229665e-06,7.229665e-06,True
X438,1.6950067e-09,1.6950067e-09,True
X8,-0.0,0.0,False
X772,0.0,0.0,False
