w_lgbm,w_catboost,w_xgboost,weight_sum,overall_pearson,overall_rmse,overall_mae,extreme_pearson,extreme_rmse,extreme_mae
0.5,0.15,0.35,1.0,0.10508080047242704,1.03774678151406,0.6970332456089149,0.28198117046151977,3.371280031053835,3.1514572744145846
0.55,0.25,0.2,1.0,0.10538104242642841,1.0377145303104756,0.6969832363059519,0.2816922900955448,3.3713430486360343,3.151608181933684
0.4,0.0,0.6,1.0,0.1040868503418825,1.0378187543781112,0.6971302930019958,0.2814037678829735,3.3713688066071574,3.1513242576986698
0.45,0.1,0.45,1.0,0.10485369526346563,1.03775016694249,0.6970405994138885,0.2823972164799162,3.371416233321496,3.151475165217769
0.6,0.35,0.05,1.0,0.10534515828572937,1.0377065881056438,0.6969577431413091,0.2805677369724777,3.3714165071672144,3.151759089452783
0.5,0.2,0.3,1.0,0.10537007211866546,1.037705884991052,0.6969775400682099,0.2826473407003006,3.37147410131719,3.1516260727368683
0.55,0.3,0.15,1.0,0.10557620689480637,1.0376859116354156,0.6969386450094446,0.2820700393196488,3.371542410056607,3.1517769802559665
0.4,0.05,0.55,1.0,0.10447698830275579,1.0377623974870032,0.6970578533730349,0.28244956978740415,3.3715568533045492,3.1514930560209526
0.45,0.15,0.4,1.0,0.10519897573896896,1.037706085206724,0.6969806923021031,0.2832498917282524,3.371609572052852,3.151643963540051
0.6,0.4,0.0,1.0,0.10541004238740899,1.037690248279249,0.6969253705088941,0.2805953570281946,3.371621158905163,3.151927887775066
0.5,0.25,0.25,1.0,0.10564034458215278,1.0376740806331346,0.6969294699131456,0.2832417808331479,3.3716727313102126,3.151794871059151
0.35,0.0,0.65,1.0,0.10395310494666411,1.0377834728348734,0.6970844171771148,0.2821185770684366,3.371701890450261,3.1515109468241365
0.55,0.35,0.1,1.0,0.10573585365765154,1.037666386015391,0.6969033604146492,0.2823394411494234,3.37174633048992,3.1519457785782494
0.4,0.1,0.5,1.0,0.10486745015290758,1.0377151309523713,0.696993947502562,0.28347352799246245,3.3717494603104923,3.151661854343235
0.45,0.2,0.35,1.0,0.1055337850987711,1.0376710954013557,0.6969303417035988,0.28405024853260047,3.3718074704157175,3.1518127618623346
0.5,0.3,0.2,1.0,0.1058853167962566,1.0376513692763412,0.6968898918510213,0.28374779617734197,3.3718759202270925,3.151963669381433
0.35,0.05,0.6,1.0,0.1043773844370346,1.0377330219966792,0.6970171890722545,0.283294969996485,3.371893765540307,3.1516797451464194
0.4,0.15,0.45,1.0,0.10525517187045756,1.0376769560164223,0.6969397473483478,0.28446483481790613,3.371946626843525,3.151830652665518
0.55,0.4,0.05,1.0,0.10585106163861162,1.037655953963715,0.6968763338548942,0.28247978660367296,3.371954809108846,3.1521145769005323
0.45,0.25,0.3,1.0,0.10585300954056437,1.0376451984461355,0.6968868739713983,0.28478322593497696,3.3720099276072983,3.151981560184617
0.3,0.0,0.7,1.0,0.1037328085448144,1.0377597578821671,0.6970498548155628,0.28269493636429566,3.372042487175229,3.1516976359496027
0.5,0.35,0.15,1.0,0.10609729833516038,1.0376377515177426,0.6968593284077053,0.28414586597918606,3.372083667243718,3.1521324677037166
0.35,0.1,0.55,1.0,0.10480565560628612,1.037691662328457,0.6969592286855655,0.28445806878730484,3.3720902000467645,3.151848543468702
0.4,0.2,0.4,1.0,0.1056362270679569,1.0376478736825918,0.6968936030130496,0.2854103820287221,3.3721483521038738,3.1519994509878013
